iso3;country;residence_type;service_type;year;uncorrected_coverage;population;service_level;coverage
BOL;Bolivia (Plurinational State of);urban;Drinking water;2006;9.650.597;595.174.690.148;At least basic;0.9650597
BOL;Bolivia (Plurinational State of);urban;Drinking water;2006;0.11182;689.632.862;Limited service;0.0011182
BOL;Bolivia (Plurinational State of);urban;Drinking water;2006;0.44767;2.760.860.647;Surface water;0.0044767
BOL;Bolivia (Plurinational State of);urban;Drinking water;2006;293.454;18.098.016.342;Unimproved;0.0293454
BOL;Bolivia (Plurinational State of);urban;Drinking water;2007;966.953;61.113.478.798;At least basic;0.966953
BOL;Bolivia (Plurinational State of);urban;Drinking water;2007;0.11006;6.956.174;Limited service;0.0011006
BOL;Bolivia (Plurinational State of);urban;Drinking water;2007;0.43362;274.056.176;Surface water;0.0043362
BOL;Bolivia (Plurinational State of);urban;Drinking water;2007;276.102;1.745.023.286;Unimproved;0.0276102
BOL;Bolivia (Plurinational State of);urban;Drinking water;2008;9.688.464;627.351.961.185;At least basic;0.9688464
BOL;Bolivia (Plurinational State of);urban;Drinking water;2008;0.10829;701.236.481;Limited service;0.0010829
BOL;Bolivia (Plurinational State of);urban;Drinking water;2008;0.41957;2.716.827.134;Surface water;0.0041957
BOL;Bolivia (Plurinational State of);urban;Drinking water;2008;25.875;16.754.675.199;Unimproved;0.0025875
BOL;Bolivia (Plurinational State of);urban;Drinking water;2009;9.707.398;643.820.002.979;At least basic;0.9707398
BOL;Bolivia (Plurinational State of);urban;Drinking water;2009;0.10652;706.467.551;Limited service;0.0010652
BOL;Bolivia (Plurinational State of);urban;Drinking water;2009;0.40552;2.689.539.348;Surface water;0.0040552
BOL;Bolivia (Plurinational State of);urban;Drinking water;2009;241.397;16.010.090.123;Unimproved;0.0241397
BOL;Bolivia (Plurinational State of);urban;Drinking water;2010;9.726.334;660.546.314.607;At least basic;0.9726334
BOL;Bolivia (Plurinational State of);urban;Drinking water;2010;0.10474;711.303.217;Limited service;0.0010474
BOL;Bolivia (Plurinational State of);urban;Drinking water;2010;0.39148;2.658.640.251;Surface water;0.0039148
BOL;Bolivia (Plurinational State of);urban;Drinking water;2010;224.045;15.215.591.925;Unimproved;0.0224045
BOL;Bolivia (Plurinational State of);urban;Drinking water;2011;974.527;677.528.747.171;At least basic;0.974527
BOL;Bolivia (Plurinational State of);urban;Drinking water;2011;0.10295;715.725.394;Limited service;0.0010295
BOL;Bolivia (Plurinational State of);urban;Drinking water;2011;0.37743;2.624.030.895;Surface water;0.0037743
BOL;Bolivia (Plurinational State of);urban;Drinking water;2011;206.692;1.437.004.654;Unimproved;0.0206692
BOL;Bolivia (Plurinational State of);urban;Drinking water;2012;9.764.207;694.722.505.346;At least basic;0.9764207
BOL;Bolivia (Plurinational State of);urban;Drinking water;2012;0.10115;719.671.999;Limited service;0.0010115
BOL;Bolivia (Plurinational State of);urban;Drinking water;2012;0.36338;2.585.455.621;Surface water;0.0036338
BOL;Bolivia (Plurinational State of);urban;Drinking water;2012;18.934;13.471.517.033;Unimproved;0.0018934
BOL;Bolivia (Plurinational State of);urban;Drinking water;2013;9.783.145;711.541.771.995;At least basic;0.9783145
BOL;Bolivia (Plurinational State of);urban;Drinking water;2013;0.09934;722.535.231;Limited service;0.0009934
BOL;Bolivia (Plurinational State of);urban;Drinking water;2013;0.34933;2.540.754.619;Surface water;0.0034933
BOL;Bolivia (Plurinational State of);urban;Drinking water;2013;171.987;12.508.888.155;Unimproved;0.0171987
BOL;Bolivia (Plurinational State of);urban;Drinking water;2014;9.802.083;728.165.601.611;At least basic;0.9802083
BOL;Bolivia (Plurinational State of);urban;Drinking water;2014;0.09753;72.451.628;Limited service;0.0009753
BOL;Bolivia (Plurinational State of);urban;Drinking water;2014;0.33529;2.490.736.876;Surface water;0.0033529
BOL;Bolivia (Plurinational State of);urban;Drinking water;2014;154.635;11.487.345.232;Unimproved;0.0154635
BOL;Bolivia (Plurinational State of);urban;Drinking water;2015;9.821.023;744.908.999.896;At least basic;0.9821023
BOL;Bolivia (Plurinational State of);urban;Drinking water;2015;0.09571;725.934.167;Limited service;0.0009571
BOL;Bolivia (Plurinational State of);urban;Drinking water;2015;0.32124;2.436.547.387;Surface water;0.0032124
BOL;Bolivia (Plurinational State of);urban;Drinking water;2015;137.283;1.041.266.855;Unimproved;0.0137283
BOL;Bolivia (Plurinational State of);urban;Drinking water;2016;9.839.963;761.807.105.272;At least basic;0.9839963
BOL;Bolivia (Plurinational State of);urban;Drinking water;2016;0.09388;726.815.117;Limited service;0.0009388
BOL;Bolivia (Plurinational State of);urban;Drinking water;2016;0.30719;2.378.268.743;Surface water;0.0030719
BOL;Bolivia (Plurinational State of);urban;Drinking water;2016;11.993;9.284.960.867;Unimproved;0.0011993
BOL;Bolivia (Plurinational State of);urban;Drinking water;2017;9.858.903;778.820.494.937;At least basic;0.9858903
BOL;Bolivia (Plurinational State of);urban;Drinking water;2017;0.09204;727.112.872;Limited service;0.0009204
BOL;Bolivia (Plurinational State of);urban;Drinking water;2017;0.29314;2.315.741.175;Surface water;0.0029314
BOL;Bolivia (Plurinational State of);urban;Drinking water;2017;102.578;8.103.301.016;Unimproved;0.0102578
BOL;Bolivia (Plurinational State of);urban;Drinking water;2018;9.877.845;795.965.989.561;At least basic;0.9877845
BOL;Bolivia (Plurinational State of);urban;Drinking water;2018;0.0902;726.835.758;Limited service;0.000902
BOL;Bolivia (Plurinational State of);urban;Drinking water;2018;0.2791;2.248.987.481;Surface water;0.002791
BOL;Bolivia (Plurinational State of);urban;Drinking water;2018;0.85225;68.675.372;Unimproved;0.0085225
BOL;Bolivia (Plurinational State of);urban;Drinking water;2019;9.896.585;81.324.059.878;At least basic;0.9896585
BOL;Bolivia (Plurinational State of);urban;Drinking water;2019;0.09037;742.610.055;Limited service;0.0009037
BOL;Bolivia (Plurinational State of);urban;Drinking water;2019;0.26505;2.178.012.197;Surface water;0.0026505
BOL;Bolivia (Plurinational State of);urban;Drinking water;2019;0.67873;5.577.378.968;Unimproved;0.0067873
