Variable:,pr
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
2010,2664.32,3603.22,1657.67,2558.31,1709.51,2495.91,2890.99,1938.94,1998.30,1834.12,1299.77,1655.90,1842.64,1663.18,3408.87,1842.85,1570.07,905.34,2142.67,1758.44,3185.31,3415.60,1729.40,3401.87,1598.89,1677.82
2011,2529.08,3540.88,1475.16,2371.89,1763.92,2510.44,2599.51,2070.24,1835.85,1864.82,1132.70,1510.70,1591.93,1517.37,3752.83,1995.79,1558.89,892.60,2010.46,1918.19,3716.41,3520.50,1846.11,3229.60,1684.86,1764.88
2012,2361.00,3503.17,1348.30,2125.53,1535.86,2079.40,2565.75,1733.51,1679.42,2069.50,821.68,955.83,1499.95,1087.83,2887.09,1742.97,1538.56,688.04,1778.69,1677.86,2839.98,2581.93,1567.91,2522.74,1309.03,1455.64
2013,2205.47,3338.22,1220.00,2085.77,1341.42,1907.23,2434.37,1596.42,1566.21,1758.24,641.77,873.91,1378.12,961.56,2746.33,1539.62,1261.72,472.82,1565.61,1364.65,2628.54,2373.34,1447.73,2244.02,1173.10,1341.23
2014,2045.16,3453.72,999.75,1967.59,1152.59,1729.18,2150.22,1433.47,1301.44,1566.79,493.62,722.82,1178.06,797.35,2338.61,1312.87,1094.78,397.63,1469.55,1251.17,2190.11,2025.19,1308.21,1900.16,938.37,1072.31
2015,1919.55,3165.99,876.45,1935.05,1029.05,1669.97,2040.91,1294.43,1172.64,1562.92,380.95,593.15,1160.52,698.38,2312.31,1162.93,1020.13,296.60,1382.73,1076.58,2229.97,1903.31,1228.51,1751.73,820.22,937.21
2016,2295.13,3460.88,1365.23,2238.98,1438.14,2030.04,2504.74,1637.06,1858.58,1488.46,764.95,958.66,1654.90,942.23,2602.78,1594.75,1241.09,621.92,1812.92,1420.10,2607.15,2310.44,1461.27,2287.96,1149.73,1300.68
2017,2260.02,3451.01,1261.16,1910.29,1395.79,1781.79,2576.87,1586.61,1468.29,1758.34,696.00,1001.38,1397.37,1045.12,2541.31,1649.00,1330.32,581.33,1559.23,1568.25,2361.52,2482.71,1442.67,2359.52,1210.68,1364.29
2018,2168.46,3517.11,995.57,1996.20,1270.80,1757.09,2437.49,1538.56,1507.64,1561.00,636.63,797.92,1311.73,879.52,2407.90,1384.92,1109.54,489.99,1618.83,1375.67,2308.87,2136.57,1423.00,1965.88,1069.55,1192.54
2019,2057.29,3551.40,1005.22,1663.57,1099.07,1523.63,2365.38,1148.62,1274.65,1452.69,352.14,626.44,1265.86,716.53,2255.48,1105.93,1056.44,362.54,1307.01,1161.69,2065.14,1896.24,1052.38,1625.96,801.69,940.50
2020,1999.65,3193.65,1140.04,1612.68,1166.12,1536.91,2232.08,1226.45,1253.16,1540.93,606.81,880.61,1257.45,858.38,2333.92,1229.53,1176.16,475.77,1345.62,1309.83,2253.36,2154.66,1115.37,1995.81,945.01,1065.27
