Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
2004,3252.00,2713.44,3743.43,2664.46,1539.98,2806.01,2244.77,6511.39,4608.46,2660.50,2420.85,6511.39,2382.42,12717.99,2492.19,2416.44,2929.80,1752.11,2518.39,2256.06,2134.90,2514.68,5628.66,2629.74,2843.19,6806.22,8832.84,1973.85,3481.40,2306.41,2737.56,10340.70,2675.20,2798.56
2005,3248.27,2861.78,3889.27,2320.47,1797.12,2960.58,2304.45,6749.70,5122.80,2486.71,2144.03,6749.70,2710.33,12022.67,2561.64,2615.35,2757.62,1827.79,2334.51,2425.22,2433.26,2297.78,5666.26,2863.48,2717.97,7298.73,9093.81,2191.31,3742.30,2480.86,2979.42,10620.66,2696.84,2428.32
2006,3354.19,2838.86,4153.39,2314.05,1624.49,3096.34,2429.43,6971.63,5090.65,2670.51,2083.13,6971.63,2588.45,10952.75,2763.95,2698.81,3148.11,1415.92,2576.73,2486.10,2306.01,2276.65,6160.82,2810.70,2870.83,7402.66,9221.58,1859.67,3952.20,2592.96,2975.44,10167.42,2833.91,2685.02
2007,3423.41,2880.09,4425.53,2414.84,1858.17,3296.92,2320.28,6915.28,5287.45,2651.84,2166.09,6915.28,2863.25,13036.57,2907.46,2712.19,2955.36,1733.13,2519.42,2384.79,2595.99,2354.64,5838.30,2696.12,2836.54,7834.89,9684.32,2097.26,3953.99,2777.02,3160.44,10856.90,2853.33,2574.45
2008,3417.37,2793.08,4168.89,2449.27,1824.05,3184.20,2608.05,7142.71,5524.93,2788.66,2334.57,7142.71,2753.82,10690.38,2721.40,2972.33,3097.74,1595.60,2570.83,2921.58,2458.30,2416.26,6115.01,2834.62,3221.88,8081.49,9238.86,2338.37,3939.45,2515.38,3521.37,10003.58,2878.74,2662.37
2009,3313.19,3122.11,3901.27,2143.21,1348.69,2887.69,2235.45,6449.95,4959.04,2945.78,1908.95,6449.95,2362.61,13045.37,2616.04,2455.28,2986.33,1259.00,2711.30,2463.84,2096.01,2354.35,5370.39,2515.76,3210.25,7663.57,9324.29,1861.73,3622.75,2388.99,2988.23,10573.58,3046.02,2601.04
2010,3631.92,2654.16,4550.75,2741.73,2544.04,3660.63,2780.68,7365.90,5754.17,2701.01,2533.78,7365.90,3492.48,12345.31,3098.96,3204.64,3017.01,2281.31,2419.12,2753.86,3202.11,2551.72,6252.12,3365.52,3062.47,8364.99,10393.88,2355.64,4703.47,3018.74,3720.27,11190.37,2595.12,2793.70
2011,3576.78,2940.65,4504.15,2804.73,2436.92,3652.86,3051.36,6741.69,5784.14,2846.11,2390.76,6741.69,3288.64,11041.50,3041.79,3284.41,3105.21,2083.40,2598.92,3112.41,3106.11,2579.83,5591.85,3431.68,3434.00,7731.78,9301.77,2172.17,4250.86,2963.63,3678.34,9701.13,2898.31,2775.36
2012,3327.16,3019.45,3788.20,2479.24,1358.59,2901.38,2460.75,6442.87,5214.80,2856.52,2155.10,6442.87,2464.06,11395.35,2593.88,2653.50,3146.43,1426.44,2590.95,2651.59,2107.30,2375.44,5677.00,2602.22,3381.31,7601.72,9552.89,1780.69,3527.24,2431.66,3005.10,9953.32,2964.50,2735.97
2013,3352.22,3058.51,3896.90,2268.26,1392.23,3017.50,2383.32,6408.73,5329.99,2943.17,2185.93,6408.73,2524.49,12157.14,2505.80,2784.83,3034.23,1251.10,2587.46,2614.35,2230.93,2560.96,5298.73,2459.81,3264.82,7900.89,9905.36,1710.58,3574.08,2407.06,3220.21,10409.70,2820.55,2655.26
2014,3341.10,3227.94,3578.01,2138.15,1211.86,2683.02,2264.78,6758.45,4923.72,2996.48,2071.70,6758.45,2303.38,11270.54,2368.39,2586.42,3220.28,1109.68,2853.15,2563.51,1949.09,2512.52,6251.36,2075.42,3236.31,7546.53,9647.17,1648.73,3213.46,2139.47,2935.45,10079.73,3199.06,2715.60
2015,3218.26,3271.32,3411.54,2081.83,1021.88,2520.28,2162.45,6152.70,4657.42,3015.21,1985.56,6152.70,1938.34,9882.63,2301.38,2329.92,3106.91,948.21,2773.99,2239.53,1728.55,2433.84,6279.49,1973.18,3130.60,7101.73,9545.88,1366.17,3105.56,2068.11,2612.84,9538.73,3034.74,2779.67
2016,3378.85,3003.83,3741.79,2471.74,1480.83,2843.08,2510.99,6385.83,5060.01,3060.22,2369.97,6385.83,2492.72,10672.50,2482.89,2784.83,3163.29,1551.84,2775.52,2689.23,2097.09,2738.06,5443.02,2319.44,3381.16,7702.69,9667.57,2114.08,3315.58,2355.71,3015.97,10144.97,3166.94,2737.01
2017,3106.56,2950.04,3419.92,2138.43,1405.44,2415.31,2398.27,6357.28,4629.71,2835.73,1901.38,6357.28,2310.38,10425.23,2133.21,2562.41,2939.22,1560.34,2433.39,2633.51,1880.23,2339.92,5604.39,2286.59,3641.35,7222.73,8699.16,2007.36,2884.03,1974.61,2786.05,8965.37,2735.70,2427.92
2018,3170.26,3123.32,3240.81,2044.36,1075.44,2432.33,2395.61,6085.51,4512.51,3189.90,1970.45,6085.51,2103.96,10069.38,2205.69,2641.20,3049.07,1202.21,2748.85,2692.16,1611.18,2593.76,5683.47,2143.01,4105.66,6811.40,8582.01,1651.06,2906.99,2049.88,2806.10,8203.78,3049.15,2620.31
2019,3103.01,3325.43,3031.69,1829.04,1064.52,2238.55,2246.24,6335.30,4319.58,3266.26,1751.41,6335.30,1815.46,9632.70,1911.80,2432.96,3304.97,992.61,2786.67,2484.03,1572.77,2352.25,5801.60,1918.25,3850.81,6719.97,8721.44,1537.29,2660.72,1774.17,2518.11,8656.34,3154.72,2379.85
2020,3043.14,2819.73,3458.07,1793.40,1453.69,2676.07,2172.64,6223.30,4837.04,2668.87,1701.90,6223.30,2286.42,10900.78,2072.61,2466.67,2780.62,1374.58,2502.18,2301.40,1967.30,2275.32,5143.13,2160.25,3079.91,7425.78,9749.32,1954.17,3292.56,2036.31,2688.35,9470.67,2818.52,2210.83
