Variable:,pr
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2003,782.75,774.08,193.80,212.15,843.88,1676.52,373.33,512.88,1373.76,1442.46,758.17,764.67,1353.52,991.29,1065.13,1312.63,1230.87,1195.14,1051.57,873.84,1524.80,1086.53,805.65,858.66,679.01,658.73,284.32,1576.07,795.92,1011.46,1527.31,601.05,680.87
2004,785.50,744.55,172.93,140.86,808.23,1576.48,530.78,520.85,1302.52,1415.18,786.39,758.79,1286.97,1017.53,1120.26,1288.68,1204.27,1062.90,1165.80,644.70,1341.54,1063.69,789.39,819.93,664.05,869.76,358.14,1480.12,728.11,977.11,1537.60,552.55,657.48
2005,773.50,488.02,182.65,107.34,976.28,1916.70,390.48,347.12,1207.57,1319.07,555.81,549.68,1462.72,1047.46,862.99,1203.77,1180.86,1041.59,1077.07,648.24,1655.07,1171.73,690.68,1217.13,619.35,723.93,330.34,1631.70,771.71,1030.54,1816.14,864.97,436.03
2006,849.83,725.36,92.65,206.48,1074.09,2019.26,487.48,306.11,1541.69,1542.79,728.80,763.20,1704.28,1054.28,1130.07,1438.17,1394.42,1302.76,1156.80,625.80,1764.36,1240.53,842.44,1100.89,663.25,822.83,311.67,1901.94,718.57,1086.37,1905.84,735.02,603.47
2007,839.88,653.46,120.45,132.12,955.36,1817.55,501.28,481.52,1468.32,1574.95,681.67,822.07,1495.56,1264.90,1084.17,1431.55,1340.37,1358.27,1162.96,688.49,1569.93,1346.45,1024.34,1089.38,790.77,772.89,385.94,1613.87,884.31,1255.14,1679.95,698.88,536.53
2008,912.09,846.34,156.15,171.24,1036.59,2054.52,545.28,445.81,1427.77,1446.04,845.00,859.45,1406.94,1565.38,1130.61,1359.00,1219.69,1245.15,1320.72,772.28,1921.64,1350.01,1111.46,1067.38,895.36,862.77,410.34,1773.69,920.74,1170.99,1907.93,677.20,690.45
2009,733.48,611.86,89.19,164.62,777.85,1599.84,425.73,331.62,1131.13,1430.81,682.64,656.73,1240.20,1106.66,931.73,1256.30,1048.56,1264.19,1170.10,559.25,1495.79,1211.08,809.85,836.98,625.36,791.50,313.43,1582.33,642.95,1017.30,1740.15,552.51,521.82
2010,954.15,615.21,224.43,82.91,1114.15,2373.02,482.65,536.04,1629.75,1559.12,744.54,781.81,1791.63,1354.19,1240.87,1538.59,1553.08,1578.44,1454.71,778.90,2090.01,1415.62,1026.73,1174.83,864.37,800.18,385.20,1942.47,928.89,1224.26,1946.19,784.81,550.55
2011,720.57,412.29,125.17,66.70,1030.91,2144.50,252.48,141.27,1817.93,1321.68,411.50,550.47,1676.04,915.23,996.64,1217.12,1329.33,1203.75,1133.61,314.17,1838.93,1165.51,670.35,1122.11,542.45,709.76,271.54,1843.45,523.40,947.66,1565.75,776.86,326.29
2012,759.25,586.11,155.17,232.50,951.24,1692.70,368.59,286.96,1364.58,1303.88,622.71,705.45,1399.09,1098.02,985.28,1203.35,1203.76,1121.39,1082.90,487.99,1706.61,1295.70,811.27,1113.64,624.31,749.18,310.10,1511.42,653.94,1119.59,1756.56,752.10,459.00
2013,979.26,873.52,167.05,176.71,1300.25,2223.27,524.66,449.20,1624.30,1615.24,758.25,846.89,1766.84,1458.48,1293.33,1493.41,1363.61,1486.38,1431.59,764.06,1924.49,1514.15,1052.37,1564.95,913.12,959.06,354.49,2245.08,956.71,1286.85,2167.85,1024.88,683.18
2014,878.90,652.84,178.01,249.20,999.21,1957.16,456.15,385.18,1609.34,1599.66,717.46,811.21,1588.39,1279.50,1183.52,1512.37,1369.73,1353.43,1336.25,715.84,1757.67,1404.71,989.96,1073.61,799.54,911.17,389.11,1801.58,903.44,1296.36,1833.10,758.02,566.06
2015,890.93,960.95,172.92,254.05,771.76,1742.61,494.00,455.07,1520.93,1695.07,817.36,972.11,1558.14,1277.39,1212.21,1521.37,1397.12,1432.76,1267.22,753.40,1570.19,1479.85,997.39,1031.83,874.63,952.62,445.78,1671.49,945.79,1349.89,1832.75,540.69,800.47
2016,833.69,729.43,161.46,137.73,787.18,1572.01,511.82,519.09,1289.38,1821.52,821.36,804.92,1719.64,1402.79,1026.94,1624.92,1297.49,1723.93,1153.33,685.60,1571.29,1404.99,1051.81,891.00,760.68,826.11,303.27,1406.34,771.84,1237.74,1714.77,601.35,621.72
2017,831.47,621.11,173.85,171.17,937.92,1840.19,442.77,383.85,1593.42,1593.10,654.64,716.10,1782.16,1181.77,1088.12,1466.72,1333.67,1827.33,1180.93,526.29,2044.43,1560.64,822.62,1018.00,612.73,623.87,330.45,1551.45,634.96,1280.72,1828.94,661.86,507.23
2018,853.19,1007.02,165.08,158.26,721.85,1565.82,434.52,472.31,1433.96,1702.02,753.01,1004.18,1651.45,1223.49,1240.35,1606.62,1518.48,1540.03,1230.72,684.23,1714.61,1373.43,996.95,1034.43,797.96,750.26,389.77,1359.63,710.97,1225.26,1769.83,657.85,796.95
2019,750.45,575.08,218.50,199.68,742.97,1614.89,458.88,273.72,1401.80,1476.50,536.39,652.86,1605.41,954.26,1068.56,1421.05,1335.19,1568.42,1106.60,539.07,1524.21,1257.08,737.68,755.00,564.76,714.34,472.43,1468.15,661.70,1095.54,1397.35,523.43,446.00
2020,764.85,612.93,125.56,116.41,1279.08,2104.04,277.65,293.59,1264.97,1323.10,614.99,595.50,1323.60,987.59,1061.31,1185.39,1077.05,1386.36,1204.18,617.03,1611.54,1188.23,702.05,1325.69,563.12,609.77,226.48,2011.82,663.54,929.59,1682.59,1056.85,549.29
