Variable:,pr
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2010,1936.87,2434.81,1262.97,1446.86,641.44,1245.95,1590.53,932.21,2433.39,1508.71,2298.17,259.09,2351.78,1165.16,612.68,926.47,2477.03,2247.92,519.98,2512.17,831.04,1762.00,2467.70,349.55,838.55,2176.58
2011,2142.73,2616.79,1295.34,1728.36,758.14,1468.75,1721.01,1062.59,2491.63,1714.15,2613.16,346.99,2545.23,1208.54,598.62,1053.56,2757.48,2425.43,637.63,2760.70,717.46,1893.67,2846.57,467.00,443.40,2569.10
2012,2269.51,2848.85,1510.33,1677.29,832.65,1502.60,2034.19,1139.52,2712.27,1719.99,2524.62,400.21,2590.25,1420.41,908.80,1159.48,2882.63,2742.98,789.52,2757.33,1150.49,1969.39,2770.66,591.42,1114.36,2604.50
2013,2203.51,2805.40,1500.31,1576.98,734.95,1492.01,1776.52,1053.93,2563.24,1745.72,2587.59,326.37,2553.98,1382.80,492.65,1119.85,2874.44,2574.79,600.56,2816.81,671.87,1925.05,2767.02,458.54,592.88,2578.87
2014,2262.39,2787.74,1548.88,1583.59,687.96,1436.36,1840.17,1006.28,2740.12,1697.70,2614.28,320.39,2596.47,1392.52,438.12,1160.94,2940.01,2704.98,523.22,2857.52,701.26,2058.24,2852.30,343.41,503.64,2720.81
2015,2259.09,2723.65,1607.46,1538.30,824.10,1493.07,1902.03,1049.02,2530.05,1736.06,2494.33,428.59,2523.45,1459.61,649.56,1237.36,2999.99,2682.65,682.60,2710.31,906.30,1905.66,2565.13,530.82,995.72,2618.57
2016,2055.57,2772.78,1438.63,1379.52,649.21,1250.09,1832.74,874.31,2408.64,1506.38,2322.77,292.45,2340.97,1315.28,660.58,1070.86,2745.05,2325.65,553.97,2457.81,955.69,1760.97,2434.29,379.97,971.34,2246.18
2017,2353.45,3356.97,1589.17,1615.16,801.15,1586.65,2246.75,1043.85,2840.58,1810.25,2493.13,514.68,2658.28,1567.24,1450.21,1385.44,2981.44,2555.69,708.65,2674.82,1696.59,2012.66,2931.06,527.43,1907.51,2527.87
2018,2203.44,3038.87,1469.20,1456.35,632.75,1397.54,1936.35,1062.87,2812.22,1724.38,2330.35,359.92,2488.25,1358.91,507.18,1237.45,2865.27,2720.58,578.39,2525.46,703.20,2111.53,2640.18,433.29,632.77,2397.84
2019,2357.91,3317.19,1557.31,1510.55,765.08,1478.88,2139.76,1063.12,2863.22,1761.03,2406.50,429.32,2482.65,1451.23,680.72,1327.88,3193.76,2699.54,679.97,2572.97,987.40,2031.60,2777.32,502.78,978.19,2499.68
2020,2009.93,2622.70,1336.15,1552.55,840.43,1421.08,1682.44,1015.13,2546.37,1581.82,2320.69,424.26,2423.00,1182.29,439.76,1161.43,2518.50,2231.39,759.82,2586.10,671.83,1913.77,2423.14,584.80,622.87,2272.48
